City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Coihaique,CL,-45.5752,-72.0662,39.81,75,75,2.3,broken clouds
323,Auki,SB,-8.7676,160.7034,84.61,68,25,3.4,scattered clouds
324,Acajutla,SV,13.5928,-89.8275,78.98,82,97,2.77,light rain
325,Talaya,RU,61.3833,152.75,78.73,28,34,8.25,scattered clouds
326,Sinnamary,GF,5.3833,-52.95,78.94,85,97,10.47,overcast clouds
327,Aljezur,PT,37.3191,-8.8033,61.75,92,0,5.08,clear sky
328,Muhos,FI,64.808,25.9931,44.38,90,28,3.78,scattered clouds
329,Vaitape,PF,-16.5167,-151.75,76.75,63,47,15.9,scattered clouds
330,Kalianget,ID,-7.05,113.9333,83.68,63,9,7.65,clear sky
331,Chimoio,MZ,-19.1164,33.4833,55.4,55,0,4.63,clear sky
332,Bilma,NE,18.6853,12.9164,84.38,51,78,10.09,broken clouds
333,Severo-Kurilsk,RU,50.6789,156.125,55.74,95,100,21.47,overcast clouds
334,Changping,CN,40.2186,116.2197,71.24,97,100,3.47,overcast clouds
335,Isangel,VU,-19.55,169.2667,76.37,78,57,11.36,broken clouds
336,Kedrovyy,RU,56.1667,91.8167,64.87,52,33,5.91,scattered clouds
337,Suntar,RU,62.1444,117.6319,67.3,64,100,8.95,overcast clouds
338,Koslan,RU,63.4564,48.8989,56.8,64,100,2.75,overcast clouds
339,Yinchuan,CN,38.4681,106.2731,80.29,51,43,12.93,scattered clouds
340,Praya,CV,14.9215,-23.5087,79.34,83,75,6.91,broken clouds
341,Asadabad,IR,34.7824,48.1185,66.15,25,0,5.35,clear sky
342,Bereda,ES,43.2686,-7.5406,64.58,100,36,4.45,scattered clouds
343,Jhanjharpur,IN,26.2667,86.2833,88.88,62,10,17.92,clear sky
344,Touros,BR,-5.1989,-35.4608,73.45,89,25,12.21,scattered clouds
345,Petauke,ZM,-14.2426,31.3253,58.17,54,0,5.12,clear sky
346,Slave Lake,CA,55.2834,-114.769,67.98,49,75,16.11,broken clouds
